Day of the Week,usertype,AVERAGE of Ride Length
1,Customer,12:52:33 AM
,Subscriber,12:13:38 AM
1 Total,,12:26:01 AM
2,Customer,1:26:54 AM
,Subscriber,12:12:35 AM
2 Total,,12:21:03 AM
3,Customer,1:16:34 AM
,Subscriber,12:11:53 AM
3 Total,,12:18:15 AM
4,Customer,1:05:45 AM
,Subscriber,12:11:50 AM
4 Total,,12:17:06 AM
5,Customer,12:43:52 AM
,Subscriber,12:11:54 AM
5 Total,,12:15:28 AM
6,Customer,12:56:05 AM
,Subscriber,12:11:33 AM
6 Total,,12:17:04 AM
7,Customer,12:57:19 AM
,Subscriber,12:16:32 AM
7 Total,,12:28:18 AM
Grand Total,,12:19:49 AM