Day of the Week,usertype,AVERAGE of Ride length
1,Customer,12:49:18 AM
,Subscriber,12:14:42 AM
1 Total,,12:19:23 AM
2,Customer,2:24:58 AM
,Subscriber,12:13:15 AM
2 Total,,12:18:12 AM
3,Customer,12:53:53 AM
,Subscriber,12:15:36 AM
3 Total,,12:17:19 AM
4,Customer,1:19:03 AM
,Subscriber,12:14:18 AM
4 Total,,12:16:59 AM
5,Customer,1:08:11 AM
,Subscriber,12:13:42 AM
5 Total,,12:16:04 AM
6,Customer,12:59:23 AM
,Subscriber,12:11:50 AM
6 Total,,12:14:22 AM
7,Customer,12:38:35 AM
,Subscriber,12:14:43 AM
7 Total,,12:18:45 AM
Grand Total,,12:16:56 AM